id_mhs,nim,nama_mhs,jenis_kelamin,tgl_lahir,kode_provinsi_asal,nama_sma_asal,akreditasi_sma_asal,id_prodi,tahun_masuk,status_mhs
21,A19080021,Intan Manullang,L,2006-03-05,63,SMA Negeri 31 Kalimantan Selatan,A,8,2019,DO
22,A21020022,Rizki Dongoran,L,1999-07-28,15,SMA Negeri 44 Jambi,TT,2,2021,Lulus
23,A19010023,Victoria Prasasta,L,2002-10-13,21,SMA Negeri 8 Kepulauan Riau,B,1,2019,Cuti
24,A22090024,Mursinin Waluyo,P,2006-03-04,73,SMA Negeri 25 Sulawesi Selatan,B,9,2022,Aktif
25,A20080025,"Drs. Uchita Samosir, M.M.",L,2004-03-26,75,SMA Negeri 4 Gorontalo,C,8,2020,Lulus
26,A19100026,Titi Wahyuni,L,2004-12-21,17,SMA Negeri 11 Bengkulu,B,10,2019,Lulus
27,A22040027,Dacin Samosir,L,2007-08-25,32,SMA Negeri 1 Jawa Barat,A,4,2022,Aktif
28,A23070028,Hj. Irma Agustina,L,2004-10-05,75,SMA Negeri 3 Gorontalo,TT,7,2023,Aktif
29,A23040029,Widya Siregar,P,2001-05-02,53,SMA Negeri 30 Nusa Tenggara Timur,B,4,2023,Aktif
30,A20020030,dr. Malika Uyainah,L,1998-08-13,35,SMA Negeri 15 Jawa Timur,B,2,2020,Aktif
31,A20110031,Fathonah Tamba,L,1997-11-26,21,SMA Negeri 20 Kepulauan Riau,A,11,2020,Aktif
32,A21100032,Banara Wacana,L,2003-11-07,53,SMA Negeri 45 Nusa Tenggara Timur,A,10,2021,Lulus
33,A22070033,Tira Pratama,L,2002-03-11,52,SMA Negeri 6 Nusa Tenggara Barat,TT,7,2022,Aktif
34,A21100034,"R.M. Viman Pradana, S.Psi",P,2001-04-17,13,SMA Negeri 6 Sumatera Barat,B,10,2021,Aktif
35,A23040035,"Ikin Manullang, S.I.Kom",P,2005-10-30,12,SMA Negeri 3 Sumatera Utara,B,4,2023,Aktif
36,A22030036,"Tgk. Salman Yuliarti, S.T.",L,2008-03-21,81,SMA Negeri 12 Maluku,TT,3,2022,Aktif
37,A23100037,Jane Haryanto,L,1997-06-18,74,SMA Negeri 31 Sulawesi Tenggara,TT,10,2023,Aktif
38,A20060038,Teguh Prasetya,P,1998-01-13,73,SMA Negeri 11 Sulawesi Selatan,B,6,2020,Aktif
39,A23060039,Virman Tamba,L,2007-08-13,73,SMA Negeri 43 Sulawesi Selatan,TT,6,2023,Aktif
40,A21070040,Karimah Sitompul,L,2005-06-02,13,SMA Negeri 8 Sumatera Barat,A,7,2021,Aktif
41,A18070041,Putri Suryono,L,1998-10-07,91,SMA Negeri 34 Papua Barat,TT,7,2018,Aktif
42,A23060042,"Drs. Rosman Hastuti, M.Pd",L,2006-11-25,82,SMA Negeri 14 Maluku Utara,TT,6,2023,Aktif
43,A20050043,Elisa Firgantoro,P,2005-10-18,19,SMA Negeri 2 Kepulauan Bangka Belitung,TT,5,2020,Aktif
44,A23110044,Elvina Halim,L,1999-03-30,36,SMA Negeri 36 Banten,A,11,2023,Aktif
45,A18010045,"Prasetya Waluyo, S.H.",L,2006-09-27,73,SMA Negeri 8 Sulawesi Selatan,B,1,2018,Aktif
46,A21110046,Gandi Safitri,P,1998-12-14,21,SMA Negeri 27 Kepulauan Riau,B,11,2021,Lulus
47,A19080047,Jagapati Anggriawan,P,2003-09-08,81,SMA Negeri 13 Maluku,TT,8,2019,Aktif
48,A23100048,Rendy Prasasta,L,2003-03-31,91,SMA Negeri 18 Papua Barat,A,10,2023,Aktif
49,A22070049,Ajeng Halimah,L,2004-04-11,63,SMA Negeri 19 Kalimantan Selatan,B,7,2022,Aktif
50,A22120050,T. Banawa Nainggolan,L,2002-03-30,61,SMA Negeri 29 Kalimantan Barat,TT,12,2022,Aktif
51,A20090051,"Mujur Haryanti, S.IP",P,1999-04-24,81,SMA Negeri 25 Maluku,B,9,2020,Lulus
52,A19080052,Damu Wibowo,P,2005-02-02,62,SMA Negeri 50 Kalimantan Tengah,B,8,2019,Aktif
53,A20070053,Faizah Agustina,P,2008-01-28,13,SMA Negeri 25 Sumatera Barat,TT,7,2020,DO
54,A21070054,"Putri Natsir, M.Kom.",L,2008-04-23,21,SMA Negeri 38 Kepulauan Riau,A,7,2021,Lulus
55,A21060055,"Kayla Purnawati, S.T.",P,2006-02-09,17,SMA Negeri 1 Bengkulu,A,6,2021,DO
56,A21120056,"Ilyas Suartini, M.Ak",L,2007-11-28,21,SMA Negeri 17 Kepulauan Riau,A,12,2021,Aktif
57,A23060057,"Lala Andriani, S.E.I",L,2008-04-07,72,SMA Negeri 44 Sulawesi Tengah,A,6,2023,Aktif
58,A20090058,Drs. Sakura Wacana,P,1997-08-17,71,SMA Negeri 5 Sulawesi Utara,TT,9,2020,Aktif
59,A19040059,Nilam Purwanti,L,2003-03-24,53,SMA Negeri 49 Nusa Tenggara Timur,A,4,2019,Cuti
60,A21110060,Vivi Prasasta,P,1997-12-21,17,SMA Negeri 2 Bengkulu,A,11,2021,Aktif
61,A18010061,Ade Zulaika,L,2005-09-27,62,SMA Negeri 10 Kalimantan Tengah,B,1,2018,Aktif
62,A21040062,"R. Dimas Maulana, M.Farm",L,2000-11-12,94,SMA Negeri 40 Papua,A,4,2021,Aktif
63,A21070063,Lidya Ardianto,L,1999-02-14,36,SMA Negeri 17 Banten,A,7,2021,Aktif
64,A23080064,Yuni Anggraini,L,2000-06-07,51,SMA Negeri 19 Bali,A,8,2023,Aktif
65,A18110065,Yunita Yolanda,L,2005-12-20,31,SMA Negeri 20 DKI Jakarta,TT,11,2018,Cuti
66,A23110066,"R. Opan Budiman, M.TI.",L,2005-04-03,74,SMA Negeri 20 Sulawesi Tenggara,B,11,2023,Aktif
67,A21040067,Mursinin Rajata,L,2004-11-01,71,SMA Negeri 23 Sulawesi Utara,A,4,2021,Aktif
68,A23100068,"Eja Laksmiwati, M.M.",L,1999-12-19,53,SMA Negeri 43 Nusa Tenggara Timur,B,10,2023,Aktif
69,A18070069,Ami Pratama,P,1999-05-25,52,SMA Negeri 19 Nusa Tenggara Barat,A,7,2018,Lulus
70,A19040070,"Saadat Simbolon, S.Sos",P,2002-07-04,64,SMA Negeri 49 Kalimantan Timur,B,4,2019,Aktif
71,A23120071,Mutia Prasetya,P,1998-06-16,19,SMA Negeri 42 Kepulauan Bangka Belitung,A,12,2023,Aktif
72,A21010072,Jamal Latupono,P,2003-11-05,61,SMA Negeri 9 Kalimantan Barat,A,1,2021,Aktif
73,A20020073,Dadap Uwais,L,2001-03-06,53,SMA Negeri 35 Nusa Tenggara Timur,C,2,2020,Aktif
74,A22060074,"Kenes Rahmawati, S.Psi",L,2002-04-08,94,SMA Negeri 17 Papua,B,6,2022,Aktif
75,A23080075,KH. Prasetya Kurniawan,L,2007-04-07,53,SMA Negeri 30 Nusa Tenggara Timur,B,8,2023,Aktif
76,A19020076,"H. Jaeman Prayoga, S.Sos",P,2002-08-01,21,SMA Negeri 26 Kepulauan Riau,C,2,2019,Aktif
77,A22010077,Bagus Haryanto,L,2003-04-29,51,SMA Negeri 24 Bali,A,1,2022,Aktif
78,A22110078,Bakidin Maulana,P,2000-06-07,51,SMA Negeri 24 Bali,C,11,2022,Aktif
79,A21020079,"dr. Hilda Winarno, S.Psi",P,2001-10-30,35,SMA Negeri 36 Jawa Timur,A,2,2021,Lulus
80,A23060080,"Cawisono Maulana, S.Kom",P,1998-03-28,35,SMA Negeri 30 Jawa Timur,A,6,2023,Aktif
81,A23120081,Sari Sudiati,L,1999-07-10,61,SMA Negeri 9 Kalimantan Barat,C,12,2023,Aktif
82,A20010082,Azalea Wijayanti,L,2001-05-10,13,SMA Negeri 35 Sumatera Barat,TT,1,2020,Aktif
83,A21030083,Bahuwarna Marbun,P,1997-12-31,71,SMA Negeri 45 Sulawesi Utara,B,3,2021,DO
84,A22090084,Patricia Hutapea,L,2005-09-24,73,SMA Negeri 42 Sulawesi Selatan,A,9,2022,Aktif
85,A22020085,Caket Hariyah,L,2000-12-22,82,SMA Negeri 3 Maluku Utara,C,2,2022,Aktif
86,A19120086,"Ilsa Saputra, M.M.",L,2008-04-14,65,SMA Negeri 24 Kalimantan Utara,TT,12,2019,Cuti
87,A22020087,"Halima Mayasari, S.T.",L,2004-02-12,65,SMA Negeri 26 Kalimantan Utara,B,2,2022,Aktif
88,A18050088,Sutan Hasim Dongoran,L,1999-09-20,33,SMA Negeri 42 Jawa Tengah,TT,5,2018,Lulus
89,A18110089,Rahmi Latupono,L,2002-04-14,12,SMA Negeri 37 Sumatera Utara,B,11,2018,Cuti
90,A22040090,Ilyas Oktaviani,P,2003-07-29,15,SMA Negeri 14 Jambi,B,4,2022,Aktif
91,A19040091,Putu Mangunsong,L,2001-10-23,63,SMA Negeri 10 Kalimantan Selatan,A,4,2019,Lulus
92,A19030092,"T. Lanang Pudjiastuti, S.Farm",P,2005-07-23,51,SMA Negeri 9 Bali,A,3,2019,Lulus
93,A19010093,"Rosman Suryatmi, M.Ak",L,2006-06-06,64,SMA Negeri 4 Kalimantan Timur,B,1,2019,Aktif
94,A22030094,Belinda Fujiati,P,1999-01-30,73,SMA Negeri 5 Sulawesi Selatan,A,3,2022,Aktif
95,A20080095,Wawan Siregar,L,2003-01-11,75,SMA Negeri 40 Gorontalo,A,8,2020,Lulus
96,A20010096,Titin Riyanti,P,2006-04-11,94,SMA Negeri 4 Papua,TT,1,2020,Cuti
97,A21080097,Jaeman Tarihoran,L,2002-05-19,72,SMA Negeri 29 Sulawesi Tengah,A,8,2021,Lulus
98,A20020098,Oliva Latupono,L,2007-09-03,16,SMA Negeri 40 Sumatera Selatan,A,2,2020,Aktif
99,A21110099,Drs. Cemeti Suryono,L,2001-07-09,62,SMA Negeri 28 Kalimantan Tengah,B,11,2021,Lulus
100,A23020100,Ida Hutasoit,L,2004-11-22,18,SMA Negeri 29 Lampung,B,2,2023,Aktif
101,A20040101,Margana Saragih,L,2006-05-29,73,SMA Negeri 7 Sulawesi Selatan,TT,4,2020,Aktif
102,A20060102,Dalima Saragih,L,2005-09-10,74,SMA Negeri 44 Sulawesi Tenggara,B,6,2020,Cuti
103,A18080103,Ihsan Wahyudin,L,2003-07-30,15,SMA Negeri 48 Jambi,A,8,2018,Aktif
104,A19120104,Nadia Ardianto,P,1998-08-01,65,SMA Negeri 36 Kalimantan Utara,A,12,2019,Cuti
105,A21060105,R. Tina Saptono,P,1999-12-21,18,SMA Negeri 28 Lampung,B,6,2021,DO
106,A20120106,Uda Pratama,L,2005-05-26,14,SMA Negeri 33 Riau,B,12,2020,Aktif
107,A23040107,Halim Lestari,L,1998-04-27,21,SMA Negeri 7 Kepulauan Riau,TT,4,2023,Aktif
108,A18060108,Vera Iswahyudi,P,2000-04-19,65,SMA Negeri 28 Kalimantan Utara,B,6,2018,Aktif
109,A22090109,Cornelia Sihombing,L,2003-06-25,12,SMA Negeri 12 Sumatera Utara,B,9,2022,Aktif
110,A20050110,Sabri Uwais,L,1998-04-26,61,SMA Negeri 10 Kalimantan Barat,B,5,2020,Aktif
111,A18100111,"Kasiyah Usada, M.TI.",P,2002-01-21,72,SMA Negeri 2 Sulawesi Tengah,A,10,2018,Lulus
112,A19020112,Danuja Palastri,L,2001-08-12,94,SMA Negeri 11 Papua,C,2,2019,Aktif
113,A23060113,Puti Habibi,P,2006-02-25,61,SMA Negeri 39 Kalimantan Barat,B,6,2023,Aktif
114,A19020114,"Sutan Ihsan Iswahyudi, S.Sos",P,2000-04-05,14,SMA Negeri 6 Riau,A,2,2019,Aktif
115,A23050115,Puti Maria Lailasari,L,1999-01-10,75,SMA Negeri 39 Gorontalo,C,5,2023,Aktif
116,A20080116,Iriana Wijaya,P,2001-02-03,73,SMA Negeri 28 Sulawesi Selatan,B,8,2020,Aktif
117,A23020117,Humaira Widiastuti,P,2002-05-04,53,SMA Negeri 43 Nusa Tenggara Timur,TT,2,2023,Aktif
118,A19050118,Ir. Elon Widiastuti,P,2001-03-02,13,SMA Negeri 14 Sumatera Barat,C,5,2019,Aktif
119,A19050119,Cut Mutia Lailasari,L,2002-03-18,34,SMA Negeri 1 DI Yogyakarta,B,5,2019,Aktif
120,A19080120,Opan Mandala,L,2004-01-16,74,SMA Negeri 15 Sulawesi Tenggara,A,8,2019,Lulus
121,A18090121,Nugraha Laksita,P,2000-02-04,64,SMA Negeri 2 Kalimantan Timur,C,9,2018,Aktif
122,A20080122,Kenari Nugroho,P,2001-11-01,15,SMA Negeri 41 Jambi,C,8,2020,Aktif
123,A18070123,"dr. Ajeng Marbun, M.M.",L,1998-06-04,53,SMA Negeri 11 Nusa Tenggara Timur,C,7,2018,Cuti
124,A23100124,Bahuraksa Kuswoyo,L,2004-12-15,76,SMA Negeri 28 Sulawesi Barat,B,10,2023,Aktif
125,A21020125,drg. Balidin Adriansyah,P,1997-12-03,36,SMA Negeri 20 Banten,C,2,2021,Aktif
126,A19120126,Titin Kusmawati,L,2002-01-17,63,SMA Negeri 41 Kalimantan Selatan,B,12,2019,Aktif
127,A22020127,Mulyono Nurdiyanti,L,2006-06-02,94,SMA Negeri 23 Papua,B,2,2022,Aktif
128,A19120128,Ciaobella Sitorus,L,2000-07-30,21,SMA Negeri 12 Kepulauan Riau,A,12,2019,Aktif
129,A23100129,Martaka Yuniar,L,2005-06-24,21,SMA Negeri 50 Kepulauan Riau,A,10,2023,Aktif
130,A21110130,"Puput Tamba, S.Gz",P,2001-08-20,82,SMA Negeri 37 Maluku Utara,TT,11,2021,DO
131,A23110131,KH. Prayoga Pertiwi,L,1999-09-01,62,SMA Negeri 29 Kalimantan Tengah,B,11,2023,Aktif
132,A21020132,dr. Pangeran Purnawati,L,2006-11-04,81,SMA Negeri 23 Maluku,B,2,2021,Lulus
133,A20090133,Balapati Simanjuntak,L,2000-05-10,15,SMA Negeri 24 Jambi,TT,9,2020,Aktif
134,A23050134,"Soleh Nababan, S.Ked",P,2003-06-02,15,SMA Negeri 39 Jambi,A,5,2023,Aktif
135,A21090135,Gantar Simanjuntak,L,2007-10-18,71,SMA Negeri 37 Sulawesi Utara,A,9,2021,DO
136,A20110136,"dr. Zahra Thamrin, S.Pd",P,2001-01-18,33,SMA Negeri 4 Jawa Tengah,TT,11,2020,Aktif
137,A20080137,Drs. Anita Rahayu,P,2002-07-04,17,SMA Negeri 3 Bengkulu,A,8,2020,Lulus
138,A21040138,"Opan Wacana, S.Kom",L,2002-12-22,75,SMA Negeri 19 Gorontalo,A,4,2021,Aktif
139,A20070139,Ellis Nababan,P,1998-06-03,73,SMA Negeri 5 Sulawesi Selatan,A,7,2020,Lulus
140,A22060140,Kawaca Pranowo,L,1999-05-01,17,SMA Negeri 17 Bengkulu,C,6,2022,Aktif
141,A20120141,Ilsa Usamah,P,2007-12-09,21,SMA Negeri 23 Kepulauan Riau,A,12,2020,Lulus
142,A19050142,Hasna Rajasa,L,2003-07-10,72,SMA Negeri 42 Sulawesi Tengah,A,5,2019,Lulus
143,A23060143,Jaga Pranowo,P,2002-05-06,19,SMA Negeri 43 Kepulauan Bangka Belitung,A,6,2023,Aktif
144,A20070144,Ellis Rahimah,L,2007-11-14,91,SMA Negeri 14 Papua Barat,A,7,2020,Aktif
145,A19060145,Cici Yuliarti,L,2006-04-06,82,SMA Negeri 19 Maluku Utara,B,6,2019,Aktif
146,A22020146,Puti Laila Kusumo,P,2002-11-16,91,SMA Negeri 22 Papua Barat,A,2,2022,Aktif
147,A22100147,Cornelia Hidayat,L,1998-04-05,19,SMA Negeri 11 Kepulauan Bangka Belitung,C,10,2022,Aktif
148,A23030148,Cinthia Salahudin,L,2007-07-25,31,SMA Negeri 27 DKI Jakarta,TT,3,2023,Aktif
149,A21060149,Luthfi Waluyo,P,2002-06-27,36,SMA Negeri 15 Banten,B,6,2021,Lulus
150,A20090150,Humaira Santoso,L,2005-12-01,36,SMA Negeri 37 Banten,TT,9,2020,Aktif
151,A20080151,Cici Utama,P,2002-08-26,76,SMA Negeri 11 Sulawesi Barat,C,8,2020,Lulus
152,A20040152,Septi Mulyani,P,1998-07-21,19,SMA Negeri 24 Kepulauan Bangka Belitung,A,4,2020,Aktif
153,A23090153,Rachel Wibisono,L,2002-06-30,17,SMA Negeri 6 Bengkulu,A,9,2023,Aktif
154,A21030154,Hani Sihotang,L,2001-11-16,52,SMA Negeri 15 Nusa Tenggara Barat,A,3,2021,Aktif
155,A18080155,Hilda Waluyo,L,2002-02-27,64,SMA Negeri 24 Kalimantan Timur,C,8,2018,Aktif
156,A18040156,Icha Putra,L,2008-02-20,71,SMA Negeri 7 Sulawesi Utara,B,4,2018,Aktif
157,A19120157,Prasetya Mansur,L,2004-07-03,63,SMA Negeri 31 Kalimantan Selatan,A,12,2019,Aktif
158,A23120158,"Mulyanto Wibowo, S.Pd",L,2006-02-11,19,SMA Negeri 40 Kepulauan Bangka Belitung,TT,12,2023,Aktif
159,A18010159,"Sarah Iswahyudi, S.Kom",L,2006-11-27,16,SMA Negeri 36 Sumatera Selatan,B,1,2018,Lulus
160,A21120160,Sutan Vinsen Setiawan,L,2007-12-08,94,SMA Negeri 8 Papua,A,12,2021,Aktif
161,A21010161,R. Indah Nababan,L,1999-04-20,36,SMA Negeri 32 Banten,TT,1,2021,Aktif
162,A23100162,Umay Waluyo,P,1997-12-24,12,SMA Negeri 10 Sumatera Utara,B,10,2023,Aktif
163,A18050163,Hj. Restu Rahimah,L,2000-12-14,74,SMA Negeri 12 Sulawesi Tenggara,B,5,2018,Lulus
164,A22110164,"Clara Permata, S.Psi",L,2000-10-07,16,SMA Negeri 34 Sumatera Selatan,B,11,2022,Aktif
165,A22090165,"T. Gamblang Suryatmi, M.Pd",L,2000-05-05,91,SMA Negeri 31 Papua Barat,A,9,2022,Aktif
166,A20010166,Amelia Situmorang,P,2000-11-08,71,SMA Negeri 5 Sulawesi Utara,B,1,2020,Aktif
167,A23060167,"Drs. Xanana Jailani, S.I.Kom",P,2001-05-08,36,SMA Negeri 48 Banten,A,6,2023,Aktif
168,A18060168,Darijan Gunarto,P,2001-08-12,19,SMA Negeri 42 Kepulauan Bangka Belitung,B,6,2018,Aktif
169,A23030169,Wani Suartini,P,2003-12-04,76,SMA Negeri 12 Sulawesi Barat,TT,3,2023,Aktif
170,A23030170,Agnes Uwais,L,2003-09-05,15,SMA Negeri 19 Jambi,TT,3,2023,Aktif
171,A19040171,"Gading Jailani, S.Ked",L,1998-01-22,13,SMA Negeri 33 Sumatera Barat,A,4,2019,DO
172,A20070172,Ophelia Laksita,P,2005-08-11,81,SMA Negeri 23 Maluku,A,7,2020,Aktif
173,A20010173,Gamanto Sirait,L,2006-12-23,63,SMA Negeri 26 Kalimantan Selatan,A,1,2020,Aktif
174,A21120174,Rafid Suryatmi,L,1997-11-03,75,SMA Negeri 32 Gorontalo,B,12,2021,Aktif
175,A20060175,Cayadi Wibowo,P,2000-01-20,94,SMA Negeri 28 Papua,A,6,2020,Aktif
176,A22100176,Mursinin Saragih,L,2001-03-03,32,SMA Negeri 7 Jawa Barat,B,10,2022,Aktif
177,A23020177,Harjo Pertiwi,L,2001-07-17,62,SMA Negeri 29 Kalimantan Tengah,B,2,2023,Aktif
178,A19100178,"Puti Devi Winarno, S.I.Kom",L,2006-12-03,74,SMA Negeri 47 Sulawesi Tenggara,TT,10,2019,Aktif
179,A20060179,"Karen Irawan, M.Ak",L,2001-08-02,74,SMA Negeri 26 Sulawesi Tenggara,A,6,2020,Lulus
180,A23060180,"H. Yono Saptono, S.Kom",L,1999-11-10,91,SMA Negeri 10 Papua Barat,A,6,2023,Aktif
181,A18100181,Safina Pradipta,L,1997-08-09,75,SMA Negeri 42 Gorontalo,A,10,2018,Aktif
182,A21060182,"Genta Puspita, S.Gz",P,2006-04-16,65,SMA Negeri 29 Kalimantan Utara,A,6,2021,Aktif
183,A21060183,Paiman Pratiwi,P,2007-05-30,65,SMA Negeri 24 Kalimantan Utara,A,6,2021,Aktif
184,A23070184,"Ir. Widya Siregar, S.Psi",L,2006-08-22,62,SMA Negeri 8 Kalimantan Tengah,B,7,2023,Aktif
185,A21010185,Ozy Hutagalung,P,1998-02-26,32,SMA Negeri 50 Jawa Barat,C,1,2021,Aktif
186,A19050186,"Dt. Dirja Gunarto, M.M.",P,2002-08-09,75,SMA Negeri 32 Gorontalo,B,5,2019,DO
187,A19040187,"Rini Marbun, S.T.",L,2006-02-11,18,SMA Negeri 46 Lampung,A,4,2019,Aktif
188,A23080188,Alika Pranowo,P,2001-10-26,16,SMA Negeri 23 Sumatera Selatan,B,8,2023,Aktif
189,A22120189,Natalia Hutapea,L,2004-05-22,15,SMA Negeri 11 Jambi,B,12,2022,Aktif
190,A20120190,Paramita Sinaga,L,2004-12-21,32,SMA Negeri 9 Jawa Barat,B,12,2020,Cuti
191,A18040191,Jessica Ardianto,P,2001-12-01,82,SMA Negeri 30 Maluku Utara,B,4,2018,Lulus
192,A22090192,Tira Mustofa,L,2007-01-06,19,SMA Negeri 20 Kepulauan Bangka Belitung,A,9,2022,Aktif
193,A22070193,H. Wardi Hassanah,L,1999-06-08,81,SMA Negeri 37 Maluku,C,7,2022,Aktif
194,A20020194,"Elvin Marpaung, S.E.I",L,1997-08-10,19,SMA Negeri 34 Kepulauan Bangka Belitung,A,2,2020,Aktif
195,A22060195,Shania Safitri,L,2000-12-28,19,SMA Negeri 28 Kepulauan Bangka Belitung,A,6,2022,Aktif
196,A18090196,Suci Oktaviani,L,2000-03-10,14,SMA Negeri 21 Riau,A,9,2018,Aktif
197,A20120197,"Dr. Mahdi Maryadi, S.I.Kom",L,2002-11-29,35,SMA Negeri 41 Jawa Timur,B,12,2020,Aktif
198,A19090198,"Ana Maulana, M.Kom.",P,2003-07-10,52,SMA Negeri 33 Nusa Tenggara Barat,B,9,2019,Lulus
199,A22110199,R. Rachel Maryadi,L,2005-05-30,31,SMA Negeri 43 DKI Jakarta,A,11,2022,Aktif
200,A22100200,Mala Hardiansyah,L,2006-10-15,63,SMA Negeri 6 Kalimantan Selatan,A,10,2022,Aktif
201,A23010201,"Ganjaran Waluyo, S.T.",P,1999-06-23,51,SMA Negeri 27 Bali,B,1,2023,Aktif
202,A21100202,Gasti Prasetyo,P,2002-08-02,12,SMA Negeri 31 Sumatera Utara,B,10,2021,Cuti
203,A20040203,Ophelia Manullang,L,2005-01-22,72,SMA Negeri 11 Sulawesi Tengah,TT,4,2020,Lulus
204,A21080204,Ani Maryati,L,2006-07-16,73,SMA Negeri 10 Sulawesi Selatan,TT,8,2021,Aktif
205,A23060205,Ifa Pratiwi,L,2000-01-14,62,SMA Negeri 9 Kalimantan Tengah,B,6,2023,Aktif
206,A22060206,Elvin Nasyiah,L,1999-01-27,91,SMA Negeri 16 Papua Barat,A,6,2022,Aktif
207,A20080207,"Eka Pertiwi, S.T.",L,2006-12-08,18,SMA Negeri 4 Lampung,TT,8,2020,Aktif
208,A22050208,Puput Wahyudin,L,2000-07-14,71,SMA Negeri 11 Sulawesi Utara,C,5,2022,Aktif
209,A19060209,"Nasim Budiyanto, S.Sos",L,2001-08-07,62,SMA Negeri 30 Kalimantan Tengah,A,6,2019,Cuti
210,A21080210,"Septi Permata, M.M.",L,2006-08-28,61,SMA Negeri 33 Kalimantan Barat,A,8,2021,DO
211,A19080211,Rizki Prasasta,L,2004-09-10,36,SMA Negeri 32 Banten,B,8,2019,Aktif
212,A20100212,"Prabowo Wulandari, M.Kom.",L,2006-04-27,81,SMA Negeri 17 Maluku,A,10,2020,Aktif
213,A21120213,Rafi Suwarno,L,2004-11-05,65,SMA Negeri 37 Kalimantan Utara,B,12,2021,Aktif
214,A20090214,Legawa Yolanda,L,2002-03-10,33,SMA Negeri 29 Jawa Tengah,B,9,2020,Aktif
215,A22090215,Drs. Marsito Hutasoit,L,2006-08-06,52,SMA Negeri 7 Nusa Tenggara Barat,A,9,2022,Aktif
216,A20070216,dr. Vera Saragih,L,1998-12-08,65,SMA Negeri 33 Kalimantan Utara,B,7,2020,Aktif
217,A18070217,H. Pardi Tamba,L,2007-09-24,91,SMA Negeri 22 Papua Barat,A,7,2018,Aktif
218,A21080218,Rusman Kusumo,P,1998-01-30,94,SMA Negeri 9 Papua,A,8,2021,Lulus
219,A19060219,Darsirah Adriansyah,P,2005-05-28,62,SMA Negeri 20 Kalimantan Tengah,C,6,2019,Lulus
220,A22100220,Rini Kusmawati,P,2002-11-03,63,SMA Negeri 37 Kalimantan Selatan,TT,10,2022,Aktif
221,A18050221,drg. Usyi Napitupulu,L,2001-12-13,81,SMA Negeri 27 Maluku,B,5,2018,Lulus
222,A23100222,Jaya Safitri,P,2006-05-29,61,SMA Negeri 31 Kalimantan Barat,A,10,2023,Aktif
223,A23050223,Putri Permata,P,2007-09-20,35,SMA Negeri 31 Jawa Timur,A,5,2023,Aktif
224,A23030224,Tgk. Harja Novitasari,L,2004-02-02,94,SMA Negeri 44 Papua,C,3,2023,Aktif
225,A22040225,Jati Wijayanti,L,2008-02-24,13,SMA Negeri 2 Sumatera Barat,A,4,2022,Aktif
226,A21080226,Malika Maheswara,L,2000-11-30,62,SMA Negeri 27 Kalimantan Tengah,A,8,2021,Lulus
